2026-04-25 18:17:04,758 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:38:11,421 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:39:06,279 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:40:30,123 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:40:55,504 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:42:27,535 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2026-04-25 18:42:28,285 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2026-04-25 18:42:29,068 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 18:42:31,068 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-25 18:42:31,501 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-25 18:42:32,168 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-25 18:42:32,534 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2026-04-25 18:42:48,654 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:54:09,142 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:56:38,768 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:58:58,026 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:59:23,259 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:08:46,778 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:20:09,880 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:21:30,097 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:22:45,219 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:23:06,981 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:23:33,793 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:25:19,699 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:25:48,912 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:26:18,296 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:30:48,330 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:31:27,903 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:33:28,700 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:38:19,448 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:43:30,470 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:45:48,483 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:50:10,467 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:50:26,178 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:52:14,885 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-25 19:52:14,886 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-25 19:54:20,889 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-25 19:54:20,889 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-25 19:54:20,889 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-25 19:54:20,889 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-25 19:54:20,890 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-25 19:54:20,890 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-25 19:54:20,890 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-25 19:54:38,520 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-25 19:54:38,903 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-25 19:54:39,319 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-25 19:54:39,903 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2026-04-25 19:54:42,319 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-25 19:54:42,854 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2026-04-25 19:54:43,485 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2026-04-25 19:54:43,940 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2026-04-25 19:54:44,338 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2026-04-25 19:54:45,302 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:54:45,612 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:55:11,511 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 19:56:05,154 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-25 19:56:05,571 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2026-04-25 19:56:06,023 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-25 19:56:06,439 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
